Rdp101

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   100        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    1      41         49         10         25        161        171         10
    2      35         17          7         17         50         60         10
    3      55         45         13          5        116        126         10
    4      55         20         19          2        149        159         10
    5      15         30         26         12         34         44         10
    6      25         30          3          5         99        109         10
    7      20         50          5         16         81         91         10
    8      10         43          9          7         95        105         10
    9      55         60         16         12         97        107         10
   10      30         60         16         15        124        134         10
   11      20         65         12         19         67         77         10
   12      50         35         19          3         63         73         10
   13      30         25         23         10        159        169         10
   14      15         10         20          8         32         42         10
   15      30          5          8         18         61         71         10
   16      10         20         19          4         75         85         10
   17       5         30          2          9        157        167         10
   18      20         40         12         12         87         97         10
   19      15         60         17          8         76         86         10
   20      45         65          9          4        126        136         10
   21      45         20         11         13         62         72         10
   22      45         10         18         10         97        107         10
   23      55          5         29          3         68         78         10
   24      65         35          3         15        153        163         10
   25      65         20          6         13        172        182         10
   26      45         30         17          6        132        142         10
   27      35         40         16         16         37         47         10
   28      41         37         16         14         39         49         10
   29      64         42          9         31         63         73         10
   30      40         60         21         17         71         81         10
   31      31         52         27         21         50         60         10
   32      35         69         23          0        141        151         10
   33      53         52         11         12         37         47         10
   34      65         55         14         12        117        127         10
   35      63         65          8          2        143        153         10
   36       2         60          5          2         41         51         10
   37      20         20          8         24        134        144         10
   38       5          5         16          7         83         93         10
   39      60         12         31         14         44         54         10
   40      40         25          9         11         85         95         10
   41      42          7          5          5         97        107         10
   42      24         12          5          9         31         41         10
   43      23          3          7         12        132        142         10
   44      11         14         18          9         69         79         10
   45       6         38         16          6         32         42         10
   46       2         48          1         40        117        127         10
   47       8         56         27         11         51         61         10
   48      13         52         36         21        165        175         10
   49       6         68         30          7        108        118         10
   50      47         47         13          6        124        134         10
   51      49         58         10          3         88         98         10
   52      27         43          9         22         52         62         10
   53      37         31         14         14         95        105         10
   54      57         29         18         31        140        150         10
   55      63         23          2         25        136        146         10
   56      53         12          6          8        130        140         10
   57      32         12          7          7        101        111         10
   58      36         26         18         28        200        210         10
   59      21         24         28          7         18         28         10
   60      17         34          3         12        162        172         10
   61      12         24         13         28         76         86         10
   62      24         58         19         10         58         68         10
   63      27         69         10          5         34         44         10
   64      15         77          9          4         73         83         10
   65      62         77         20          0         51         61         10
   66      49         73         25          7        127        137         10
   67      67          5         25         25         83         93         10
   68      56         39         36         12        142        152         10
   69      37         47          6         10         50         60         10
   70      37         56          5          6        182        192         10
   71      57         68         15         20         77         87         10
   72      47         16         25         20         35         45         10
   73      44         17          9         13         78         88         10
   74      46         13          8          9        149        159         10
   75      49         11         18          7         69         79         10
   76      49         42         13          7         73         83         10
   77      53         43         14          4        179        189         10
   78      61         52          3          9         96        106         10
   79      57         48         23          4         92        102         10
   80      56         37          6          6        182        192         10
   81      55         54         26         17         94        104         10
   82      15         47         16          4         55         65         10
   83      14         37         11         15         44         54         10
   84      11         31          7          8        101        111         10
   85      16         22         41          1         91        101         10
   86       4         18         35         17         94        104         10
   87      28         18         26         12         93        103         10
   88      26         52          9         24         74         84         10
   89      26         35         15          1        176        186         10
   90      31         67          3          6         95        105         10
   91      15         19          1          3        160        170         10
   92      22         22          2          4         18         28         10
   93      18         24         22          9        188        198         10
   94      26         27         27          5        100        110         10
   95      25         24         20          5         39         49         10
   96      22         27         11         39        135        145         10
   97      25         21         12         10        133        143         10
   98      19         21         10         16         58         68         10
   99      20         26          9          8         83         93         10
  100      18         18         17         11        185        195         10
